97.145546 Framedifference 14   Time 41957
97.70816 Framedifference 10   Time 41967
97.98893 Framedifference 10   Time 41977
99.47585 Framedifference 8   Time 41985
98.586655 Framedifference 11   Time 41996
99.919075 Framedifference 9   Time 42005
99.543015 Framedifference 11   Time 42016
96.61762 Framedifference 14   Time 42030
87.44072 Framedifference -5211   Time 36819
88.70548 Framedifference 10   Time 36829
90.86362 Framedifference 9   Time 36838
92.47081 Framedifference 10   Time 36848
93.60496 Framedifference 9   Time 36857
95.36229 Framedifference 9   Time 36866
95.71079 Framedifference 11   Time 36877
96.511566 Framedifference 9   Time 36886
96.86156 Framedifference 10   Time 36896
98.00173 Framedifference 9   Time 36905
97.791916 Framedifference 11   Time 36916
95.14625 Framedifference 14   Time 36930
96.69341 Framedifference 9   Time 36939
97.50052 Framedifference 9   Time 36948
99.008316 Framedifference 9   Time 36957
100.24687 Framedifference 9   Time 36966
100.88742 Framedifference 10   Time 36976
101.49282 Framedifference 9   Time 36985
102.23264 Framedifference 9   Time 36994
102.896355 Framedifference 9   Time 37003
102.587425 Framedifference 10   Time 37013
99.18692 Framedifference 15   Time 37028
100.484055 Framedifference 9   Time 37037
100.97172 Framedifference 9   Time 37046
102.41749 Framedifference 9   Time 37055
103.34474 Framedifference 9   Time 37064
104.00387 Framedifference 9   Time 37073
102.16118 Framedifference 11   Time 37084
103.36283 Framedifference 9   Time 37093
104.65505 Framedifference 9   Time 37102
104.033676 Framedifference 10   Time 37112
105.47927 Framedifference 9   Time 37121
106.31485 Framedifference 8   Time 37129
107.40715 Framedifference 9   Time 37138
107.4542 Framedifference 9   Time 37147
104.20106 Framedifference 14   Time 37161
104.35839 Framedifference 9   Time 37170
